INDEX  | TEXT       | TYPE            | LINE  | COL  
1187   | (          | LPAREN          | 104   | 16   
1188   | (          | LPAREN          | 104   | 17   
1189   | 1i         | COMPLEX         | 104   | 18   
1190   | ,          | COMMA           | 104   | 20   
1191   | 1i         | COMPLEX         | 104   | 21   
1192   | )          | RPAREN          | 104   | 23   
1193   | ,          | COMMA           | 104   | 24   
1194   | (          | LPAREN          | 104   | 26   
1195   | 1i         | COMPLEX         | 104   | 27   
1196   | ,          | COMMA           | 104   | 29   
1197   | 1i         | COMPLEX         | 104   | 30   
1198   | )          | RPAREN          | 104   | 32   
1199   | )          | RPAREN          | 104   | 33   
1200   | |ket0>     | KET_IDENTIFIER  | 105   | 4    
1201   | =          | ASSIGN          | 105   | 11   
1202   | (          | LPAREN          | 105   | 13   
1203   | 1          | INT             | 105   | 14   
1204   | ,          | COMMA           | 105   | 15   
1205   | 0          | INT             | 105   | 16   
1206   | )          | RPAREN          | 105   | 17   
1207   | |ket1>     | KET_IDENTIFIER  | 106   | 4    
1208   | =          | ASSIGN          | 106   | 11   
1209   | (          | LPAREN          | 106   | 13   
1210   | 0          | INT             | 106   | 14   
1211   | ,          | COMMA           | 106   | 15   
1212   | 1          | INT             | 106   | 16   
1213   | )          | RPAREN          | 106   | 17   
1214   | op         | IDENTIFIER      | 107   | 4    
1215   | =          | ASSIGN          | 107   | 7    
1216   | (          | LPAREN          | 107   | 9    
1217   | (          | LPAREN          | 107   | 10   
1218   | 1          | INT             | 107   | 11   
1219   | ,          | COMMA           | 107   | 12   
1220   | 0          | INT             | 107   | 13   
1221   | )          | RPAREN          | 107   | 14   
1222   | ,          | COMMA           | 107   | 15   
1223   | (          | LPAREN          | 107   | 17   
1224   | 0          | INT             | 107   | 18   
1225   | ,          | COMMA           | 107   | 19   
1226   | 1          | INT             | 107   | 20   
1227   | )          | RPAREN          | 107   | 21   
1228   | )          | RPAREN          | 107   | 22   
1229   | op2        | IDENTIFIER      | 108   | 4    
1230   | =          | ASSIGN          | 108   | 8    
1231   | 1          | INT             | 108   | 10   
1232   | /          | DIV             | 108   | 11   
1233   | 2          | INT             | 108   | 12   
1234   | *          | MUL             | 108   | 14   
1235   | (          | LPAREN          | 108   | 16   
1236   | (          | LPAREN          | 108   | 17   
1237   | 1i         | COMPLEX         | 108   | 18   
1238   | ,          | COMMA           | 108   | 20   
1239   | 1i         | COMPLEX         | 108   | 21   
1240   | )          | RPAREN          | 108   | 23   
1241   | ,          | COMMA           | 108   | 24   
1242   | (          | LPAREN          | 108   | 26   
1243   | 1i         | COMPLEX         | 108   | 27   
1244   | ,          | COMMA           | 108   | 29   
1245   | 1i         | COMPLEX         | 108   | 30   
1246   | )          | RPAREN          | 108   | 32   
1247   | )          | RPAREN          | 108   | 33   
1248   | |ket0>     | KET_IDENTIFIER  | 109   | 4    
1249   | =          | ASSIGN          | 109   | 11   
1250   | (          | LPAREN          | 109   | 13   
1251   | 1          | INT             | 109   | 14   
1252   | ,          | COMMA           | 109   | 15   
1253   | 0          | INT             | 109   | 16   
1254   | )          | RPAREN          | 109   | 17   
1255   | |ket1>     | KET_IDENTIFIER  | 110   | 4    
1256   | =          | ASSIGN          | 110   | 11   
1257   | (          | LPAREN          | 110   | 13   
1258   | 0          | INT             | 110   | 14   
1259   | ,          | COMMA           | 110   | 15   
1260   | 1          | INT             | 110   | 16   
1261   | )          | RPAREN          | 110   | 17   
1262   | op         | IDENTIFIER      | 111   | 4    
1263   | =          | ASSIGN          | 111   | 7    
1264   | (          | LPAREN          | 111   | 9    
1265   | (          | LPAREN          | 111   | 10   
1266   | 1          | INT             | 111   | 11   
1267   | ,          | COMMA           | 111   | 12   
1268   | 0          | INT             | 111   | 13   
1269   | )          | RPAREN          | 111   | 14   
1270   | ,          | COMMA           | 111   | 15   
1271   | (          | LPAREN          | 111   | 17   
1272   | 0          | INT             | 111   | 18   
1273   | ,          | COMMA           | 111   | 19   
1274   | 1          | INT             | 111   | 20   
1275   | )          | RPAREN          | 111   | 21   
1276   | )          | RPAREN          | 111   | 22   
1277   | op2        | IDENTIFIER      | 112   | 4    
1278   | =          | ASSIGN          | 112   | 8    
1279   | 1          | INT             | 112   | 10   
1280   | /          | DIV             | 112   | 11   
1281   | 2          | INT             | 112   | 12   
1282   | *          | MUL             | 112   | 14   
1283   | (          | LPAREN          | 112   | 16   
1284   | (          | LPAREN          | 112   | 17   
1285   | 1i         | COMPLEX         | 112   | 18   
1286   | ,          | COMMA           | 112   | 20   
1287   | 1i         | COMPLEX         | 112   | 21   
1288   | )          | RPAREN          | 112   | 23   
1289   | ,          | COMMA           | 112   | 24   
1290   | (          | LPAREN          | 112   | 26   
1291   | 1i         | COMPLEX         | 112   | 27   
1292   | ,          | COMMA           | 112   | 29   
1293   | 1i         | COMPLEX         | 112   | 30   
1294   | )          | RPAREN          | 112   | 32   
1295   | )          | RPAREN          | 112   | 33   
1296   | |ket0>     | KET_IDENTIFIER  | 113   | 4    
1297   | =          | ASSIGN          | 113   | 11   
1298   | (          | LPAREN          | 113   | 13   
1299   | 1          | INT             | 113   | 14   
1300   | ,          | COMMA           | 113   | 15   
1301   | 0          | INT             | 113   | 16   
1302   | )          | RPAREN          | 113   | 17   
1303   | |ket1>     | KET_IDENTIFIER  | 114   | 4    
1304   | =          | ASSIGN          | 114   | 11   
1305   | (          | LPAREN          | 114   | 13   
1306   | 0          | INT             | 114   | 14   
1307   | ,          | COMMA           | 114   | 15   
1308   | 1          | INT             | 114   | 16   
1309   | )          | RPAREN          | 114   | 17   
1310   | op         | IDENTIFIER      | 115   | 4    
1311   | =          | ASSIGN          | 115   | 7    
1312   | (          | LPAREN          | 115   | 9    
1313   | (          | LPAREN          | 115   | 10   
1314   | 1          | INT             | 115   | 11   
1315   | ,          | COMMA           | 115   | 12   
1316   | 0          | INT             | 115   | 13   
1317   | )          | RPAREN          | 115   | 14   
1318   | ,          | COMMA           | 115   | 15   
1319   | (          | LPAREN          | 115   | 17   
1320   | 0          | INT             | 115   | 18   
1321   | ,          | COMMA           | 115   | 19   
1322   | 1          | INT             | 115   | 20   
1323   | )          | RPAREN          | 115   | 21   
1324   | )          | RPAREN          | 115   | 22   
1325   | op2        | IDENTIFIER      | 116   | 4    
1326   | =          | ASSIGN          | 116   | 8    
1327   | 1          | INT             | 116   | 10   
1328   | /          | DIV             | 116   | 11   
1329   | 2          | INT             | 116   | 12   
1330   | *          | MUL             | 116   | 14   
1331   | (          | LPAREN          | 116   | 16   
1332   | (          | LPAREN          | 116   | 17   
1333   | 1i         | COMPLEX         | 116   | 18   
1334   | ,          | COMMA           | 116   | 20   
1335   | 1i         | COMPLEX         | 116   | 21   
1336   | )          | RPAREN          | 116   | 23   
1337   | ,          | COMMA           | 116   | 24   
1338   | (          | LPAREN          | 116   | 26   
1339   | 1i         | COMPLEX         | 116   | 27   
1340   | ,          | COMMA           | 116   | 29   
1341   | 1i         | COMPLEX         | 116   | 30   
1342   | )          | RPAREN          | 116   | 32   
1343   | )          | RPAREN          | 116   | 33   
1344   | |ket0>     | KET_IDENTIFIER  | 117   | 4    
1345   | =          | ASSIGN          | 117   | 11   
1346   | (          | LPAREN          | 117   | 13   
1347   | 1          | INT             | 117   | 14   
1348   | ,          | COMMA           | 117   | 15   
1349   | 0          | INT             | 117   | 16   
1350   | )          | RPAREN          | 117   | 17   
1351   | |ket1>     | KET_IDENTIFIER  | 118   | 4    
1352   | =          | ASSIGN          | 118   | 11   
1353   | (          | LPAREN          | 118   | 13   
1354   | 0          | INT             | 118   | 14   
1355   | ,          | COMMA           | 118   | 15   
1356   | 1          | INT             | 118   | 16   
1357   | )          | RPAREN          | 118   | 17   
1358   | op         | IDENTIFIER      | 119   | 4    
1359   | =          | ASSIGN          | 119   | 7    
1360   | (          | LPAREN          | 119   | 9    
1361   | (          | LPAREN          | 119   | 10   
1362   | 1          | INT             | 119   | 11   
1363   | ,          | COMMA           | 119   | 12   
1364   | 0          | INT             | 119   | 13   
1365   | )          | RPAREN          | 119   | 14   
1366   | ,          | COMMA           | 119   | 15   
1367   | (          | LPAREN          | 119   | 17   
1368   | 0          | INT             | 119   | 18   
1369   | ,          | COMMA           | 119   | 19   
1370   | 1          | INT             | 119   | 20   
1371   | )          | RPAREN          | 119   | 21   
1372   | )          | RPAREN          | 119   | 22   
1373   | op2        | IDENTIFIER      | 120   | 4    
1374   | =          | ASSIGN          | 120   | 8    
1375   | 1          | INT             | 120   | 10   
1376   | /          | DIV             | 120   | 11   
1377   | 2          | INT             | 120   | 12   
1378   | *          | MUL             | 120   | 14   
1379   | (          | LPAREN          | 120   | 16   
1380   | (          | LPAREN          | 120   | 17   
1381   | 1i         | COMPLEX         | 120   | 18   
1382   | ,          | COMMA           | 120   | 20   
1383   | 1i         | COMPLEX         | 120   | 21   
1384   | )          | RPAREN          | 120   | 23   
1385   | ,          | COMMA           | 120   | 24   
1386   | (          | LPAREN          | 120   | 26   
1387   | 1i         | COMPLEX         | 120   | 27   
1388   | ,          | COMMA           | 120   | 29   
1389   | 1i         | COMPLEX         | 120   | 30   
1390   | )          | RPAREN          | 120   | 32   
1391   | )          | RPAREN          | 120   | 33   
1392   | |ket0>     | KET_IDENTIFIER  | 121   | 4    
1393   | =          | ASSIGN          | 121   | 11   
1394   | (          | LPAREN          | 121   | 13   
1395   | 1          | INT             | 121   | 14   
1396   | ,          | COMMA           | 121   | 15   
1397   | 0          | INT             | 121   | 16   
1398   | )          | RPAREN          | 121   | 17   
1399   | |ket1>     | KET_IDENTIFIER  | 122   | 4    
1400   | =          | ASSIGN          | 122   | 11   
1401   | (          | LPAREN          | 122   | 13   
1402   | 0          | INT             | 122   | 14   
1403   | ,          | COMMA           | 122   | 15   
1404   | 1          | INT             | 122   | 16   
1405   | )          | RPAREN          | 122   | 17   
1406   | op         | IDENTIFIER      | 123   | 4    
1407   | =          | ASSIGN          | 123   | 7    
1408   | (          | LPAREN          | 123   | 9    
1409   | (          | LPAREN          | 123   | 10   
1410   | 1          | INT             | 123   | 11   
1411   | ,          | COMMA           | 123   | 12   
1412   | 0          | INT             | 123   | 13   
1413   | )          | RPAREN          | 123   | 14   
1414   | ,          | COMMA           | 123   | 15   
1415   | (          | LPAREN          | 123   | 17   
1416   | 0          | INT             | 123   | 18   
1417   | ,          | COMMA           | 123   | 19   
1418   | 1          | INT             | 123   | 20   
1419   | )          | RPAREN          | 123   | 21   
1420   | )          | RPAREN          | 123   | 22   
1421   | op2        | IDENTIFIER      | 124   | 4    
1422   | =          | ASSIGN          | 124   | 8    
1423   | 1          | INT             | 124   | 10   
1424   | /          | DIV             | 124   | 11   
1425   | 2          | INT             | 124   | 12   
1426   | *          | MUL             | 124   | 14   
1427   | (          | LPAREN          | 124   | 16   
1428   | (          | LPAREN          | 124   | 17   
1429   | 1i         | COMPLEX         | 124   | 18   
1430   | ,          | COMMA           | 124   | 20   
1431   | 1i         | COMPLEX         | 124   | 21   
1432   | )          | RPAREN          | 124   | 23   
1433   | ,          | COMMA           | 124   | 24   
1434   | (          | LPAREN          | 124   | 26   
1435   | 1i         | COMPLEX         | 124   | 27   
1436   | ,          | COMMA           | 124   | 29   
1437   | 1i         | COMPLEX         | 124   | 30   
1438   | )          | RPAREN          | 124   | 32   
1439   | )          | RPAREN          | 124   | 33   
1440   | |ket0>     | KET_IDENTIFIER  | 125   | 4    
1441   | =          | ASSIGN          | 125   | 11   
1442   | (          | LPAREN          | 125   | 13   
1443   | 1          | INT             | 125   | 14   
1444   | ,          | COMMA           | 125   | 15   
1445   | 0          | INT             | 125   | 16   
1446   | )          | RPAREN          | 125   | 17   
1447   | |ket1>     | KET_IDENTIFIER  | 126   | 4    
1448   | =          | ASSIGN          | 126   | 11   
1449   | (          | LPAREN          | 126   | 13   
1450   | 0          | INT             | 126   | 14   
1451   | ,          | COMMA           | 126   | 15   
1452   | 1          | INT             | 126   | 16   
1453   | )          | RPAREN          | 126   | 17   
1454   | op         | IDENTIFIER      | 127   | 4    
1455   | =          | ASSIGN          | 127   | 7    
1456   | (          | LPAREN          | 127   | 9    
1457   | (          | LPAREN          | 127   | 10   
1458   | 1          | INT             | 127   | 11   
1459   | ,          | COMMA           | 127   | 12   
1460   | 0          | INT             | 127   | 13   
1461   | )          | RPAREN          | 127   | 14   
1462   | ,          | COMMA           | 127   | 15   
1463   | (          | LPAREN          | 127   | 17   
1464   | 0          | INT             | 127   | 18   
1465   | ,          | COMMA           | 127   | 19   
1466   | 1          | INT             | 127   | 20   
1467   | )          | RPAREN          | 127   | 21   
1468   | )          | RPAREN          | 127   | 22   
1469   | op2        | IDENTIFIER      | 128   | 4    
1470   | =          | ASSIGN          | 128   | 8    
1471   | 1          | INT             | 128   | 10   
1472   | /          | DIV             | 128   | 11   
1473   | 2          | INT             | 128   | 12   
1474   | *          | MUL             | 128   | 14   
1475   | (          | LPAREN          | 128   | 16   
1476   | (          | LPAREN          | 128   | 17   
1477   | 1i         | COMPLEX         | 128   | 18   
1478   | ,          | COMMA           | 128   | 20   
1479   | 1i         | COMPLEX         | 128   | 21   
1480   | )          | RPAREN          | 128   | 23   
1481   | ,          | COMMA           | 128   | 24   
1482   | (          | LPAREN          | 128   | 26   
1483   | 1i         | COMPLEX         | 128   | 27   
1484   | ,          | COMMA           | 128   | 29   
1485   | 1i         | COMPLEX         | 128   | 30   
1486   | )          | RPAREN          | 128   | 32   
1487   | )          | RPAREN          | 128   | 33   
1488   | |ket0>     | KET_IDENTIFIER  | 129   | 4    
1489   | =          | ASSIGN          | 129   | 11   
1490   | (          | LPAREN          | 129   | 13   
1491   | 1          | INT             | 129   | 14   
1492   | ,          | COMMA           | 129   | 15   
1493   | 0          | INT             | 129   | 16   
1494   | )          | RPAREN          | 129   | 17   
1495   | |ket1>     | KET_IDENTIFIER  | 130   | 4    
1496   | =          | ASSIGN          | 130   | 11   
1497   | (          | LPAREN          | 130   | 13   
1498   | 0          | INT             | 130   | 14   
1499   | ,          | COMMA           | 130   | 15   
1500   | 1          | INT             | 130   | 16   
1501   | )          | RPAREN          | 130   | 17   
1502   | op         | IDENTIFIER      | 131   | 4    
1503   | =          | ASSIGN          | 131   | 7    
1504   | (          | LPAREN          | 131   | 9    
1505   | (          | LPAREN          | 131   | 10   
1506   | 1          | INT             | 131   | 11   
1507   | ,          | COMMA           | 131   | 12   
1508   | 0          | INT             | 131   | 13   
1509   | )          | RPAREN          | 131   | 14   
1510   | ,          | COMMA           | 131   | 15   
1511   | (          | LPAREN          | 131   | 17   
1512   | 0          | INT             | 131   | 18   
1513   | ,          | COMMA           | 131   | 19   
1514   | 1          | INT             | 131   | 20   
1515   | )          | RPAREN          | 131   | 21   
1516   | )          | RPAREN          | 131   | 22   
1517   | op2        | IDENTIFIER      | 132   | 4    
1518   | =          | ASSIGN          | 132   | 8    
1519   | 1          | INT             | 132   | 10   
1520   | /          | DIV             | 132   | 11   
1521   | 2          | INT             | 132   | 12   
1522   | *          | MUL             | 132   | 14   
1523   | (          | LPAREN          | 132   | 16   
1524   | (          | LPAREN          | 132   | 17   
1525   | 1i         | COMPLEX         | 132   | 18   
1526   | ,          | COMMA           | 132   | 20   
1527   | 1i         | COMPLEX         | 132   | 21   
1528   | )          | RPAREN          | 132   | 23   
1529   | ,          | COMMA           | 132   | 24   
1530   | (          | LPAREN          | 132   | 26   
1531   | 1i         | COMPLEX         | 132   | 27   
1532   | ,          | COMMA           | 132   | 29   
1533   | 1i         | COMPLEX         | 132   | 30   
1534   | )          | RPAREN          | 132   | 32   
1535   | )          | RPAREN          | 132   | 33   
1536   | |ket0>     | KET_IDENTIFIER  | 133   | 4    
1537   | =          | ASSIGN          | 133   | 11   
1538   | (          | LPAREN          | 133   | 13   
1539   | 1          | INT             | 133   | 14   
1540   | ,          | COMMA           | 133   | 15   
1541   | 0          | INT             | 133   | 16   
1542   | )          | RPAREN          | 133   | 17   
1543   | |ket1>     | KET_IDENTIFIER  | 134   | 4    
1544   | =          | ASSIGN          | 134   | 11   
1545   | (          | LPAREN          | 134   | 13   
1546   | 0          | INT             | 134   | 14   
1547   | ,          | COMMA           | 134   | 15   
1548   | 1          | INT             | 134   | 16   
1549   | )          | RPAREN          | 134   | 17   
1550   | op         | IDENTIFIER      | 135   | 4    
1551   | =          | ASSIGN          | 135   | 7    
1552   | (          | LPAREN          | 135   | 9    
1553   | (          | LPAREN          | 135   | 10   
1554   | 1          | INT             | 135   | 11   
1555   | ,          | COMMA           | 135   | 12   
1556   | 0          | INT             | 135   | 13   
1557   | )          | RPAREN          | 135   | 14   
1558   | ,          | COMMA           | 135   | 15   
1559   | (          | LPAREN          | 135   | 17   
1560   | 0          | INT             | 135   | 18   
1561   | ,          | COMMA           | 135   | 19   
1562   | 1          | INT             | 135   | 20   
1563   | )          | RPAREN          | 135   | 21   
1564   | )          | RPAREN          | 135   | 22   
1565   | op2        | IDENTIFIER      | 136   | 4    
1566   | =          | ASSIGN          | 136   | 8    
1567   | 1          | INT             | 136   | 10   
1568   | /          | DIV             | 136   | 11   
1569   | 2          | INT             | 136   | 12   
1570   | *          | MUL             | 136   | 14   
1571   | (          | LPAREN          | 136   | 16   
1572   | (          | LPAREN          | 136   | 17   
1573   | 1i         | COMPLEX         | 136   | 18   
1574   | ,          | COMMA           | 136   | 20   
1575   | 1i         | COMPLEX         | 136   | 21   
1576   | )          | RPAREN          | 136   | 23   
1577   | ,          | COMMA           | 136   | 24   
1578   | (          | LPAREN          | 136   | 26   
1579   | 1i         | COMPLEX         | 136   | 27   
1580   | ,          | COMMA           | 136   | 29   
1581   | 1i         | COMPLEX         | 136   | 30   
1582   | )          | RPAREN          | 136   | 32   
1583   | )          | RPAREN          | 136   | 33   
1584   | |ket0>     | KET_IDENTIFIER  | 137   | 4    
1585   | =          | ASSIGN          | 137   | 11   
1586   | (          | LPAREN          | 137   | 13   
1587   | 1          | INT             | 137   | 14   
1588   | ,          | COMMA           | 137   | 15   
1589   | 0          | INT             | 137   | 16   
1590   | )          | RPAREN          | 137   | 17   
1591   | |ket1>     | KET_IDENTIFIER  | 138   | 4    
1592   | =          | ASSIGN          | 138   | 11   
1593   | (          | LPAREN          | 138   | 13   
1594   | 0          | INT             | 138   | 14   
1595   | ,          | COMMA           | 138   | 15   
1596   | 1          | INT             | 138   | 16   
1597   | )          | RPAREN          | 138   | 17   
1598   | op         | IDENTIFIER      | 139   | 4    
1599   | =          | ASSIGN          | 139   | 7    
1600   | (          | LPAREN          | 139   | 9    
1601   | (          | LPAREN          | 139   | 10   
1602   | 1          | INT             | 139   | 11   
1603   | ,          | COMMA           | 139   | 12   
1604   | 0          | INT             | 139   | 13   
1605   | )          | RPAREN          | 139   | 14   
1606   | ,          | COMMA           | 139   | 15   
1607   | (          | LPAREN          | 139   | 17   
1608   | 0          | INT             | 139   | 18   
1609   | ,          | COMMA           | 139   | 19   
1610   | 1          | INT             | 139   | 20   
1611   | )          | RPAREN          | 139   | 21   
1612   | )          | RPAREN          | 139   | 22   
1613   | op2        | IDENTIFIER      | 140   | 4    
1614   | =          | ASSIGN          | 140   | 8    
1615   | 1          | INT             | 140   | 10   
1616   | /          | DIV             | 140   | 11   
1617   | 2          | INT             | 140   | 12   
1618   | *          | MUL             | 140   | 14   
1619   | (          | LPAREN          | 140   | 16   
1620   | (          | LPAREN          | 140   | 17   
1621   | 1i         | COMPLEX         | 140   | 18   
1622   | ,          | COMMA           | 140   | 20   
1623   | 1i         | COMPLEX         | 140   | 21   
1624   | )          | RPAREN          | 140   | 23   
1625   | ,          | COMMA           | 140   | 24   
1626   | (          | LPAREN          | 140   | 26   
1627   | 1i         | COMPLEX         | 140   | 27   
1628   | ,          | COMMA           | 140   | 29   
1629   | 1i         | COMPLEX         | 140   | 30   
1630   | )          | RPAREN          | 140   | 32   
1631   | )          | RPAREN          | 140   | 33   
1632   | |ket0>     | KET_IDENTIFIER  | 141   | 4    
1633   | =          | ASSIGN          | 141   | 11   
1634   | (          | LPAREN          | 141   | 13   
1635   | 1          | INT             | 141   | 14   
1636   | ,          | COMMA           | 141   | 15   
1637   | 0          | INT             | 141   | 16   
1638   | )          | RPAREN          | 141   | 17   
1639   | |ket1>     | KET_IDENTIFIER  | 142   | 4    
1640   | =          | ASSIGN          | 142   | 11   
1641   | (          | LPAREN          | 142   | 13   
1642   | 0          | INT             | 142   | 14   
1643   | ,          | COMMA           | 142   | 15   
1644   | 1          | INT             | 142   | 16   
1645   | )          | RPAREN          | 142   | 17   
1646   | op         | IDENTIFIER      | 143   | 4    
1647   | =          | ASSIGN          | 143   | 7    
1648   | (          | LPAREN          | 143   | 9    
1649   | (          | LPAREN          | 143   | 10   
1650   | 1          | INT             | 143   | 11   
1651   | ,          | COMMA           | 143   | 12   
1652   | 0          | INT             | 143   | 13   
1653   | )          | RPAREN          | 143   | 14   
1654   | ,          | COMMA           | 143   | 15   
1655   | (          | LPAREN          | 143   | 17   
1656   | 0          | INT             | 143   | 18   
1657   | ,          | COMMA           | 143   | 19   
1658   | 1          | INT             | 143   | 20   
1659   | )          | RPAREN          | 143   | 21   
1660   | )          | RPAREN          | 143   | 22   
1661   | op2        | IDENTIFIER      | 144   | 4    
1662   | =          | ASSIGN          | 144   | 8    
1663   | 1          | INT             | 144   | 10   
1664   | /          | DIV             | 144   | 11   
1665   | 2          | INT             | 144   | 12   
1666   | *          | MUL             | 144   | 14   
1667   | (          | LPAREN          | 144   | 16   
1668   | (          | LPAREN          | 144   | 17   
1669   | 1i         | COMPLEX         | 144   | 18   
1670   | ,          | COMMA           | 144   | 20   
1671   | 1i         | COMPLEX         | 144   | 21   
1672   | )          | RPAREN          | 144   | 23   
1673   | ,          | COMMA           | 144   | 24   
1674   | (          | LPAREN          | 144   | 26   
1675   | 1i         | COMPLEX         | 144   | 27   
1676   | ,          | COMMA           | 144   | 29   
1677   | 1i         | COMPLEX         | 144   | 30   
1678   | )          | RPAREN          | 144   | 32   
1679   | )          | RPAREN          | 144   | 33   
1680   | |ket0>     | KET_IDENTIFIER  | 145   | 4    
1681   | =          | ASSIGN          | 145   | 11   
1682   | (          | LPAREN          | 145   | 13   
1683   | 1          | INT             | 145   | 14   
1684   | ,          | COMMA           | 145   | 15   
1685   | 0          | INT             | 145   | 16   
1686   | )          | RPAREN          | 145   | 17   
1687   | |ket1>     | KET_IDENTIFIER  | 146   | 4    
1688   | =          | ASSIGN          | 146   | 11   
1689   | (          | LPAREN          | 146   | 13   
1690   | 0          | INT             | 146   | 14   
1691   | ,          | COMMA           | 146   | 15   
1692   | 1          | INT             | 146   | 16   
1693   | )          | RPAREN          | 146   | 17   
1694   | op         | IDENTIFIER      | 147   | 4    
1695   | =          | ASSIGN          | 147   | 7    
1696   | (          | LPAREN          | 147   | 9    
1697   | (          | LPAREN          | 147   | 10   
1698   | 1          | INT             | 147   | 11   
1699   | ,          | COMMA           | 147   | 12   
1700   | 0          | INT             | 147   | 13   
1701   | )          | RPAREN          | 147   | 14   
1702   | ,          | COMMA           | 147   | 15   
1703   | (          | LPAREN          | 147   | 17   
1704   | 0          | INT             | 147   | 18   
1705   | ,          | COMMA           | 147   | 19   
1706   | 1          | INT             | 147   | 20   
1707   | )          | RPAREN          | 147   | 21   
1708   | )          | RPAREN          | 147   | 22   
1709   | op2        | IDENTIFIER      | 148   | 4    
1710   | =          | ASSIGN          | 148   | 8    
1711   | 1          | INT             | 148   | 10   
1712   | /          | DIV             | 148   | 11   
1713   | 2          | INT             | 148   | 12   
1714   | *          | MUL             | 148   | 14   
1715   | (          | LPAREN          | 148   | 16   
1716   | (          | LPAREN          | 148   | 17   
1717   | 1i         | COMPLEX         | 148   | 18   
1718   | ,          | COMMA           | 148   | 20   
1719   | 1i         | COMPLEX         | 148   | 21   
1720   | )          | RPAREN          | 148   | 23   
1721   | ,          | COMMA           | 148   | 24   
1722   | (          | LPAREN          | 148   | 26   
1723   | 1i         | COMPLEX         | 148   | 27   
1724   | ,          | COMMA           | 148   | 29   
1725   | 1i         | COMPLEX         | 148   | 30   
1726   | )          | RPAREN          | 148   | 32   
1727   | )          | RPAREN          | 148   | 33   
1728   | |ket0>     | KET_IDENTIFIER  | 149   | 4    
1729   | =          | ASSIGN          | 149   | 11   
1730   | (          | LPAREN          | 149   | 13   
1731   | 1          | INT             | 149   | 14   
1732   | ,          | COMMA           | 149   | 15   
1733   | 0          | INT             | 149   | 16   
1734   | )          | RPAREN          | 149   | 17   
1735   | |ket1>     | KET_IDENTIFIER  | 150   | 4    
1736   | =          | ASSIGN          | 150   | 11   
1737   | (          | LPAREN          | 150   | 13   
1738   | 0          | INT             | 150   | 14   
1739   | ,          | COMMA           | 150   | 15   
1740   | 1          | INT             | 150   | 16   
1741   | )          | RPAREN          | 150   | 17   
1742   | op         | IDENTIFIER      | 151   | 4    
1743   | =          | ASSIGN          | 151   | 7    
1744   | (          | LPAREN          | 151   | 9    
1745   | (          | LPAREN          | 151   | 10   
1746   | 1          | INT             | 151   | 11   
1747   | ,          | COMMA           | 151   | 12   
1748   | 0          | INT             | 151   | 13   
1749   | )          | RPAREN          | 151   | 14   
1750   | ,          | COMMA           | 151   | 15   
1751   | (          | LPAREN          | 151   | 17   
1752   | 0          | INT             | 151   | 18   
1753   | ,          | COMMA           | 151   | 19   
1754   | 1          | INT             | 151   | 20   
1755   | )          | RPAREN          | 151   | 21   
1756   | )          | RPAREN          | 151   | 22   
1757   | op2        | IDENTIFIER      | 152   | 4    
1758   | =          | ASSIGN          | 152   | 8    
1759   | 1          | INT             | 152   | 10   
1760   | /          | DIV             | 152   | 11   
1761   | 2          | INT             | 152   | 12   
1762   | *          | MUL             | 152   | 14   
1763   | (          | LPAREN          | 152   | 16   
1764   | (          | LPAREN          | 152   | 17   
1765   | 1i         | COMPLEX         | 152   | 18   
1766   | ,          | COMMA           | 152   | 20   
1767   | 1i         | COMPLEX         | 152   | 21   
1768   | )          | RPAREN          | 152   | 23   
1769   | ,          | COMMA           | 152   | 24   
1770   | (          | LPAREN          | 152   | 26   
1771   | 1i         | COMPLEX         | 152   | 27   
1772   | ,          | COMMA           | 152   | 29   
1773   | 1i         | COMPLEX         | 152   | 30   
1774   | )          | RPAREN          | 152   | 32   
1775   | )          | RPAREN          | 152   | 33   
1776   | |ket0>     | KET_IDENTIFIER  | 153   | 4    
1777   | =          | ASSIGN          | 153   | 11   
1778   | (          | LPAREN          | 153   | 13   
1779   | 1          | INT             | 153   | 14   
1780   | ,          | COMMA           | 153   | 15   
1781   | 0          | INT             | 153   | 16   
1782   | )          | RPAREN          | 153   | 17   
1783   | |ket1>     | KET_IDENTIFIER  | 154   | 4    
1784   | =          | ASSIGN          | 154   | 11   
1785   | (          | LPAREN          | 154   | 13   
1786   | 0          | INT             | 154   | 14   
1787   | ,          | COMMA           | 154   | 15   
1788   | 1          | INT             | 154   | 16   
1789   | )          | RPAREN          | 154   | 17   
1790   | op         | IDENTIFIER      | 155   | 4    
1791   | =          | ASSIGN          | 155   | 7    
1792   | (          | LPAREN          | 155   | 9    
1793   | (          | LPAREN          | 155   | 10   
1794   | 1          | INT             | 155   | 11   
1795   | ,          | COMMA           | 155   | 12   
1796   | 0          | INT             | 155   | 13   
1797   | )          | RPAREN          | 155   | 14   
1798   | ,          | COMMA           | 155   | 15   
1799   | (          | LPAREN          | 155   | 17   
1800   | 0          | INT             | 155   | 18   
1801   | ,          | COMMA           | 155   | 19   
1802   | 1          | INT             | 155   | 20   
1803   | )          | RPAREN          | 155   | 21   
1804   | )          | RPAREN          | 155   | 22   
1805   | op2        | IDENTIFIER      | 156   | 4    
1806   | =          | ASSIGN          | 156   | 8    
1807   | 1          | INT             | 156   | 10   
1808   | /          | DIV             | 156   | 11   
1809   | 2          | INT             | 156   | 12   
